"Organ","HR (95% CI)","FDR"
"Adipose","0.79 (0.55-1.13)",0.456213311886461
"Brain","0.86 (0.64-1.16)",0.456213311886461
"Cardiovascular","0.99 (0.72-1.35)",0.927285997594199
"Endocrine","0.59 (0.35-0.99)",0.317594103020924
"Gastrointestinal","0.85 (0.64-1.14)",0.456213311886461
"Immune","0.65 (0.45-0.93)",0.278971658636842
"Kidney and Bladder","0.78 (0.54-1.11)",0.456213311886461
"Liver","0.86 (0.63-1.16)",0.456213311886461
"Lung","0.75 (0.53-1.05)",0.422640105141448
"Muscle","0.93 (0.71-1.23)",0.676709872610379
"Nerve","0.87 (0.61-1.25)",0.528400150399464
"Pancreas","0.85 (0.61-1.17)",0.456213311886461
"Prostate","0.80 (0.56-1.15)",0.456213311886461
"Skin","0.87 (0.61-1.24)",0.528400150399464
