"Organ","HR (95% CI)","FDR"
"Adipose","1.45 (0.84-2.50)",0.694517528203757
"Brain","0.77 (0.46-1.30)",0.694517528203757
"Cardiovascular","1.07 (0.62-1.86)",0.829557970607237
"Endocrine","1.19 (0.72-1.98)",0.694517528203757
"Gastrointestinal","1.41 (0.82-2.44)",0.694517528203757
"Immune","1.19 (0.73-1.95)",0.694517528203757
"Kidney and Bladder","1.16 (0.68-1.97)",0.757322291401607
"Liver","1.07 (0.60-1.90)",0.829557970607237
"Lung","1.74 (0.87-3.50)",0.694517528203757
"Muscle","0.57 (0.13-2.43)",0.694517528203757
"Nerve","1.26 (0.70-2.27)",0.694517528203757
"Pancreas","0.90 (0.54-1.50)",0.812278761835158
"Prostate","0.53 (0.22-1.26)",0.694517528203757
"Skin","1.25 (0.80-1.94)",0.694517528203757
