"Organ","HR (95% CI)","FDR"
"Adipose","1.14 (1.06-1.22)",0.000288149492800768
"Brain","1.18 (1.10-1.26)",1.27427922175249e-05
"Cardiovascular","1.30 (1.22-1.39)",2.91677989459332e-13
"Endocrine","1.14 (1.06-1.22)",0.000652416174796306
"Gastrointestinal","1.28 (1.19-1.37)",4.11303980168367e-11
"Immune","1.18 (1.11-1.26)",2.16580770876357e-06
"Kidney and Bladder","1.15 (1.07-1.24)",0.000167360694643677
"Liver","1.26 (1.18-1.36)",3.69858367677268e-10
"Lung","1.15 (1.07-1.23)",0.000238675837149215
"Muscle","1.11 (1.04-1.18)",0.00149082941393226
"Nerve","1.23 (1.15-1.31)",1.14488234791872e-08
"Ovary","1.17 (1.03-1.34)",0.017986009801516
"Pancreas","1.15 (1.08-1.23)",0.000123869711281109
"Prostate","1.15 (1.06-1.25)",0.00149082941393226
"Skin","1.08 (1.01-1.15)",0.0223849433009381
