"Organ","HR (95% CI)","FDR"
"Adipose","1.00 (0.83-1.20)",0.964357506215935
"Brain","1.06 (0.90-1.24)",0.870085795891979
"Cardiovascular","0.94 (0.77-1.13)",0.870085795891979
"Endocrine","1.08 (0.90-1.30)",0.870085795891979
"Gastrointestinal","1.03 (0.85-1.26)",0.870085795891979
"Immune","1.10 (0.93-1.30)",0.870085795891979
"Kidney and Bladder","1.15 (0.98-1.37)",0.661775199693917
"Liver","1.06 (0.86-1.32)",0.870085795891979
"Lung","1.04 (0.86-1.25)",0.870085795891979
"Muscle","1.01 (0.83-1.23)",0.961494952682005
"Nerve","1.06 (0.88-1.27)",0.870085795891979
"Ovary","0.97 (0.82-1.15)",0.870085795891979
"Pancreas","1.04 (0.88-1.24)",0.870085795891979
"Skin","1.18 (0.98-1.42)",0.661775199693917
