"Organ","HR (95% CI)","FDR"
"Adipose","1.08 (1.00-1.16)",0.0575805491565646
"Brain","1.14 (1.06-1.22)",0.00122236823335125
"Cardiovascular","1.12 (1.04-1.20)",0.00385530397447178
"Endocrine","1.09 (1.01-1.17)",0.027236988185585
"Gastrointestinal","1.15 (1.07-1.24)",0.00080721341996865
"Immune","1.12 (1.04-1.20)",0.00385530397447178
"Kidney and Bladder","1.15 (1.07-1.24)",0.00080721341996865
"Liver","1.20 (1.11-1.28)",1.10472928650219e-05
"Lung","1.12 (1.04-1.20)",0.00385530397447178
"Muscle","1.04 (0.97-1.11)",0.308580564657425
"Nerve","1.13 (1.05-1.21)",0.0018562202107858
"Ovary","1.19 (1.04-1.36)",0.0180668521994927
"Pancreas","1.02 (0.95-1.09)",0.576723233941461
"Prostate","1.03 (0.94-1.12)",0.576723233941461
"Skin","1.01 (0.94-1.09)",0.739789665472066
