"Organ","HR (95% CI)","FDR"
"Adipose","1.13 (1.03-1.24)",0.00999566297036022
"Brain","1.46 (1.34-1.60)",1.95005274701715e-16
"Cardiovascular","1.23 (1.12-1.35)",1.55336158369784e-05
"Endocrine","1.24 (1.14-1.36)",6.56349373054356e-06
"Gastrointestinal","1.26 (1.15-1.38)",4.692255634945e-06
"Immune","1.20 (1.09-1.31)",0.000186257272186788
"Kidney and Bladder","1.24 (1.13-1.36)",6.56349373054356e-06
"Liver","1.28 (1.16-1.40)",4.692255634945e-06
"Lung","1.13 (1.03-1.24)",0.0140854842576949
"Muscle","1.09 (1.02-1.17)",0.0140854842576949
"Nerve","1.25 (1.14-1.36)",4.692255634945e-06
"Ovary","1.20 (1.06-1.37)",0.00733748191745697
"Pancreas","1.11 (1.02-1.21)",0.0140854842576949
"Prostate","1.06 (0.94-1.19)",0.378297472121925
"Skin","1.14 (1.04-1.24)",0.00837351194628783
