"Organ","HR (95% CI)","FDR"
"Adipose","1.07 (0.97-1.18)",0.250703545008432
"Brain","1.14 (1.04-1.26)",0.0116280035801582
"Cardiovascular","1.22 (1.10-1.36)",0.00134027360552739
"Endocrine","1.16 (1.05-1.28)",0.00885869920693364
"Gastrointestinal","1.05 (0.93-1.19)",0.540648822652011
"Immune","1.12 (0.99-1.26)",0.119855752639178
"Kidney and Bladder","1.28 (1.16-1.41)",8.91036955728766e-06
"Liver","1.15 (1.02-1.29)",0.0340901876296461
"Lung","1.13 (1.03-1.24)",0.0249252704548099
"Muscle","1.00 (0.90-1.11)",0.934559524611631
"Nerve","1.18 (1.07-1.29)",0.0030262262607428
"Ovary","1.17 (0.97-1.42)",0.147520266746611
"Pancreas","1.03 (0.92-1.14)",0.733741476710537
"Prostate","1.02 (0.91-1.15)",0.76809229580664
"Skin","1.17 (1.06-1.28)",0.0060899693667918
