"Organ","HR (95% CI)","FDR"
"Adipose","1.56 (1.23-1.99)",0.000858464933443596
"Brain","1.45 (1.17-1.81)",0.00168382917712501
"Cardiovascular","1.43 (1.16-1.77)",0.00168382917712501
"Endocrine","1.60 (1.28-2.00)",0.000210239433908548
"Gastrointestinal","1.82 (1.48-2.25)",2.36412503500723e-07
"Immune","1.49 (1.26-1.77)",3.13932552245197e-05
"Kidney and Bladder","1.52 (1.22-1.89)",0.000665375463253318
"Liver","1.41 (1.05-1.88)",0.0340886580685836
"Lung","1.50 (1.19-1.89)",0.00127001478637772
"Muscle","1.08 (0.82-1.41)",0.643407761124303
"Nerve","1.35 (1.02-1.77)",0.0495992481451138
"Ovary","1.14 (0.77-1.69)",0.592477030830446
"Pancreas","1.31 (1.00-1.71)",0.0655416438145964
"Prostate","0.96 (0.62-1.49)",0.868221213072654
"Skin","1.16 (0.90-1.50)",0.32624627338746
