"Organ","HR (95% CI)","FDR"
"Adipose","1.11 (0.94-1.32)",0.269893836246313
"Brain","1.33 (1.10-1.61)",0.00839566917672429
"Cardiovascular","1.28 (1.06-1.55)",0.0241796066350685
"Endocrine","1.33 (1.09-1.61)",0.0105073574295238
"Gastrointestinal","1.36 (1.11-1.65)",0.00839566917672429
"Immune","1.24 (1.03-1.49)",0.0400644876639116
"Kidney and Bladder","1.36 (1.12-1.66)",0.00839566917672429
"Liver","1.46 (1.20-1.77)",0.00129875407286136
"Lung","1.25 (1.05-1.49)",0.0248527261498785
"Muscle","1.07 (0.90-1.27)",0.451381250615796
"Nerve","1.12 (0.93-1.34)",0.269893836246313
"Ovary","1.02 (0.77-1.35)",0.915170829450699
"Pancreas","1.20 (1.00-1.44)",0.0696451149273791
"Prostate","1.77 (1.32-2.36)",0.00129875407286136
"Skin","1.13 (0.93-1.37)",0.269893836246313
