"Organ","HR (95% CI)","FDR"
"Adipose","1.26 (0.93-1.71)",0.294329091348044
"Brain","1.30 (0.99-1.70)",0.222194462608177
"Cardiovascular","1.49 (1.07-2.07)",0.100996660025756
"Endocrine","1.04 (0.80-1.35)",0.844428909183058
"Gastrointestinal","1.41 (1.05-1.87)",0.100996660025756
"Immune","1.38 (1.06-1.81)",0.100996660025756
"Kidney and Bladder","1.20 (0.88-1.62)",0.462203919501981
"Liver","1.15 (0.86-1.54)",0.529620942378682
"Lung","1.12 (0.85-1.48)",0.553473499642019
"Muscle","1.04 (0.79-1.37)",0.844428909183058
"Nerve","1.26 (0.93-1.70)",0.294329091348044
"Ovary","0.78 (0.50-1.23)",0.47818329486773
"Pancreas","1.09 (0.84-1.41)",0.671282769243964
"Prostate","1.57 (0.92-2.67)",0.28751794679597
"Skin","1.00 (0.74-1.35)",0.988536995521471
