"Organ","HR (95% CI)","FDR"
"Adipose","1.04 (0.66-1.62)",0.937898652474254
"Brain","0.96 (0.59-1.56)",0.937898652474254
"Cardiovascular","0.83 (0.51-1.35)",0.937898652474254
"Endocrine","1.05 (0.67-1.63)",0.937898652474254
"Gastrointestinal","1.06 (0.65-1.74)",0.937898652474254
"Immune","1.10 (0.69-1.74)",0.937898652474254
"Kidney and Bladder","1.06 (0.67-1.69)",0.937898652474254
"Liver","1.02 (0.67-1.53)",0.937898652474254
"Lung","0.85 (0.52-1.36)",0.937898652474254
"Muscle","0.90 (0.59-1.36)",0.937898652474254
"Nerve","0.77 (0.50-1.20)",0.937898652474254
"Ovary","1.21 (0.79-1.87)",0.937898652474254
"Pancreas","1.07 (0.69-1.66)",0.937898652474254
"Skin","0.96 (0.64-1.45)",0.937898652474254
