"Organ","HR (95% CI)","FDR"
"Adipose","1.15 (0.58-2.27)",0.969324754147298
"Brain","1.39 (0.62-3.11)",0.969324754147298
"Cardiovascular","0.54 (0.24-1.22)",0.969324754147298
"Endocrine","0.99 (0.49-1.98)",0.969324754147298
"Gastrointestinal","1.38 (0.64-2.96)",0.969324754147298
"Immune","1.47 (0.74-2.92)",0.969324754147298
"Kidney and Bladder","1.16 (0.53-2.53)",0.969324754147298
"Liver","0.72 (0.41-1.27)",0.969324754147298
"Lung","1.04 (0.54-2.00)",0.969324754147298
"Muscle","0.90 (0.51-1.58)",0.969324754147298
"Nerve","1.01 (0.53-1.92)",0.969324754147298
"Ovary","1.22 (0.65-2.29)",0.969324754147298
"Pancreas","1.12 (0.60-2.09)",0.969324754147298
"Skin","1.07 (0.61-1.89)",0.969324754147298
