"Organ","HR (95% CI)","FDR"
"Adipose","1.14 (0.57-2.27)",0.916069297574889
"Brain","0.70 (0.35-1.41)",0.797853036177782
"Cardiovascular","1.27 (0.60-2.69)",0.797853036177782
"Endocrine","1.25 (0.65-2.41)",0.797853036177782
"Gastrointestinal","0.73 (0.33-1.59)",0.797853036177782
"Immune","0.95 (0.44-2.03)",0.926013513268794
"Kidney and Bladder","1.06 (0.57-1.96)",0.926013513268794
"Liver","1.78 (0.76-4.21)",0.797853036177782
"Lung","0.67 (0.29-1.50)",0.797853036177782
"Muscle","0.97 (0.47-2.00)",0.926013513268794
"Nerve","0.54 (0.27-1.09)",0.797853036177782
"Ovary","1.29 (0.66-2.53)",0.797853036177782
"Pancreas","1.24 (0.59-2.60)",0.797853036177782
"Skin","0.64 (0.30-1.37)",0.797853036177782
