"Organ","HR (95% CI)","FDR"
"Adipose","1.06 (0.91-1.25)",0.612594627891584
"Brain","1.21 (1.03-1.42)",0.159173376600648
"Cardiovascular","1.09 (0.92-1.29)",0.48184991279482
"Endocrine","1.10 (0.93-1.31)",0.48184991279482
"Gastrointestinal","1.24 (1.05-1.46)",0.143603606655641
"Immune","1.08 (0.93-1.27)",0.48184991279482
"Kidney and Bladder","1.17 (0.99-1.39)",0.191111976884381
"Liver","1.19 (1.01-1.40)",0.159173376600648
"Lung","1.19 (1.01-1.40)",0.159173376600648
"Muscle","0.91 (0.79-1.06)",0.48184991279482
"Nerve","1.14 (0.97-1.35)",0.293042733707198
"Ovary","1.06 (0.84-1.33)",0.715967028858139
"Pancreas","0.97 (0.84-1.13)",0.75608833663815
"Prostate","1.04 (0.80-1.35)",0.75608833663815
"Skin","0.95 (0.81-1.11)",0.616914186293218
