"Organ","HR (95% CI)","FDR"
"Adipose","1.33 (0.83-2.12)",0.700047634220355
"Brain","1.27 (0.72-2.22)",0.775594740109109
"Cardiovascular","1.14 (0.64-2.04)",0.856466306197487
"Endocrine","1.56 (0.85-2.87)",0.700047634220355
"Gastrointestinal","1.23 (0.59-2.55)",0.856466306197487
"Immune","1.05 (0.61-1.80)",0.856466306197487
"Kidney and Bladder","1.48 (0.78-2.81)",0.700047634220355
"Liver","1.42 (0.69-2.94)",0.732711752266755
"Lung","1.55 (0.89-2.68)",0.700047634220355
"Muscle","1.38 (0.74-2.58)",0.732711752266755
"Nerve","1.59 (0.88-2.88)",0.700047634220355
"Ovary","0.90 (0.36-2.27)",0.856466306197487
"Pancreas","1.07 (0.63-1.82)",0.856466306197487
"Prostate","1.17 (0.42-3.26)",0.856466306197487
"Skin","1.10 (0.67-1.80)",0.856466306197487
