"Organ","HR (95% CI)","FDR"
"Adipose","3.0e+00 (7.1e-01-1.2e+01)",0.50970865108544
"Brain","0.49 (0.18-1.35)",0.50970865108544
"Cardiovascular","0.76 (0.23-2.58)",0.709086455407173
"Endocrine","0.67 (0.16-2.78)",0.669360689004122
"Gastrointestinal","0.71 (0.26-1.94)",0.631095313157819
"Immune","1.72 (0.54-5.45)",0.588652518372354
"Kidney and Bladder","0.54 (0.13-2.23)",0.588652518372354
"Liver","0.52 (0.16-1.72)",0.588652518372354
"Lung","1.13 (0.40-3.15)",0.818694680480439
"Muscle","1.82 (0.51-6.50)",0.588652518372354
"Nerve","0.67 (0.22-1.99)",0.631095313157819
"Ovary","0.31 (0.05-2.01)",0.545823094099364
"Pancreas","2.68 (0.76-9.40)",0.50970865108544
"Prostate","2.7e+03 (3.5e+01-2.1e+05)",0.00544330790838383
"Skin","0.48 (0.17-1.31)",0.50970865108544
