"Organ","HR (95% CI)","FDR"
"Adipose","1.18 (0.96-1.44)",0.225245218862591
"Brain","1.23 (1.01-1.50)",0.194934404297061
"Cardiovascular","1.17 (0.93-1.46)",0.276926283277932
"Endocrine","1.21 (0.98-1.49)",0.225245218862591
"Gastrointestinal","1.11 (0.90-1.36)",0.423329632562208
"Immune","1.15 (0.93-1.41)",0.276926283277932
"Kidney and Bladder","1.20 (0.97-1.49)",0.225245218862591
"Liver","1.25 (1.01-1.54)",0.194934404297061
"Lung","1.13 (0.94-1.37)",0.276926283277932
"Muscle","1.10 (0.89-1.35)",0.423329632562208
"Nerve","1.47 (1.17-1.84)",0.0114573408416106
"Ovary","1.30 (0.96-1.77)",0.225245218862591
"Pancreas","1.17 (0.96-1.42)",0.225245218862591
"Prostate","1.09 (0.74-1.59)",0.674092555040927
"Skin","0.94 (0.76-1.15)",0.567350409387141
