"Organ","HR (95% CI)","FDR"
"Adipose","1.17 (0.92-1.48)",0.401030122937472
"Brain","1.32 (1.04-1.67)",0.157590003693622
"Cardiovascular","1.16 (0.89-1.51)",0.446499732522284
"Endocrine","1.17 (0.91-1.49)",0.401030122937472
"Gastrointestinal","1.07 (0.84-1.37)",0.653742095788366
"Immune","1.24 (0.96-1.58)",0.236515746901092
"Kidney and Bladder","1.13 (0.88-1.46)",0.453326779261323
"Liver","1.30 (1.01-1.66)",0.157590003693622
"Lung","1.10 (0.88-1.37)",0.482633373551956
"Muscle","1.29 (0.99-1.68)",0.163806665071076
"Nerve","1.73 (1.31-2.27)",0.00161547158524616
"Ovary","1.18 (0.86-1.61)",0.453326779261323
"Pancreas","1.31 (1.02-1.68)",0.157590003693622
"Prostate","1.08 (0.71-1.64)",0.753148566574058
"Skin","0.96 (0.75-1.23)",0.753148566574058
