"Organ","HR (95% CI)","FDR"
"Adipose","1.11 (0.73-1.70)",0.746088356797619
"Brain","1.15 (0.80-1.66)",0.622829479960463
"Cardiovascular","1.19 (0.75-1.88)",0.622829479960463
"Endocrine","1.27 (0.84-1.92)",0.622829479960463
"Gastrointestinal","1.22 (0.82-1.84)",0.622829479960463
"Immune","0.76 (0.47-1.21)",0.622829479960463
"Kidney and Bladder","1.33 (0.87-2.02)",0.622829479960463
"Liver","1.08 (0.70-1.67)",0.790445854365662
"Lung","1.27 (0.85-1.89)",0.622829479960463
"Muscle","0.78 (0.54-1.12)",0.622829479960463
"Nerve","0.91 (0.60-1.38)",0.746088356797619
"Ovary","1.97 (1.04-3.72)",0.549478321914817
"Pancreas","0.86 (0.60-1.22)",0.622829479960463
"Prostate","1.09 (0.36-3.33)",0.879385224101181
"Skin","0.85 (0.58-1.24)",0.622829479960463
