"Organ","HR (95% CI)","FDR"
"Adipose","0.98 (0.78-1.23)",0.859370047389198
"Brain","1.11 (0.90-1.36)",0.567440254254679
"Cardiovascular","1.57 (1.20-2.06)",0.0165989350469365
"Endocrine","1.21 (0.95-1.55)",0.350443225785127
"Gastrointestinal","1.34 (1.06-1.70)",0.119550725109358
"Immune","1.08 (0.87-1.33)",0.677541116481466
"Kidney and Bladder","1.33 (1.03-1.71)",0.145397888232217
"Liver","1.13 (0.89-1.44)",0.567440254254679
"Lung","1.08 (0.86-1.36)",0.677541116481466
"Muscle","1.06 (0.86-1.31)",0.689100887204307
"Nerve","1.14 (0.88-1.47)",0.567440254254679
"Ovary","1.09 (0.75-1.58)",0.696501270632177
"Pancreas","1.16 (0.94-1.44)",0.418812476574541
"Prostate","1.11 (0.77-1.60)",0.689100887204307
"Skin","1.23 (0.98-1.54)",0.280052859004786
