"Organ","HR (95% CI)","FDR"
"Adipose","1.15 (0.86-1.53)",0.516403964186202
"Brain","1.11 (0.86-1.44)",0.559747918392826
"Cardiovascular","1.56 (1.13-2.16)",0.0971415534135967
"Endocrine","1.31 (0.98-1.76)",0.1684737561002
"Gastrointestinal","1.38 (1.02-1.86)",0.148359170720022
"Immune","1.06 (0.80-1.40)",0.751718221892382
"Kidney and Bladder","1.43 (1.05-1.94)",0.148359170720022
"Liver","1.28 (0.93-1.75)",0.268490763855358
"Lung","1.10 (0.83-1.45)",0.608284770294238
"Muscle","1.04 (0.80-1.36)",0.751718221892382
"Nerve","1.22 (0.88-1.69)",0.376213650239205
"Ovary","1.68 (0.99-2.84)",0.161491527275207
"Pancreas","1.20 (0.91-1.58)",0.376213650239205
"Prostate","1.17 (0.72-1.89)",0.608284770294238
"Skin","1.37 (1.01-1.84)",0.148359170720022
