"Organ","HR (95% CI)","FDR"
"Adipose","0.66 (0.41-1.07)",0.41209967562701
"Brain","1.36 (0.91-2.05)",0.41209967562701
"Cardiovascular","1.95 (1.04-3.63)",0.355734085143894
"Endocrine","0.96 (0.57-1.61)",0.93836980448977
"Gastrointestinal","1.42 (0.89-2.25)",0.41209967562701
"Immune","1.17 (0.81-1.69)",0.866536046191929
"Kidney and Bladder","1.24 (0.70-2.20)",0.866536046191929
"Liver","1.06 (0.69-1.64)",0.93836980448977
"Lung","0.96 (0.59-1.57)",0.93836980448977
"Muscle","1.12 (0.77-1.63)",0.916467383079892
"Nerve","1.06 (0.66-1.71)",0.93836980448977
"Ovary","0.33 (0.11-0.99)",0.355734085143894
"Pancreas","1.19 (0.81-1.73)",0.866536046191929
"Prostate","0.97 (0.50-1.91)",0.93836980448977
"Skin","1.05 (0.71-1.56)",0.93836980448977
