"Organ","HR (95% CI)","FDR"
"Adipose","1.12 (0.95-1.31)",0.212063313832524
"Brain","1.30 (1.10-1.54)",0.00475065958157053
"Cardiovascular","1.49 (1.23-1.81)",0.000309622437049661
"Endocrine","1.40 (1.17-1.67)",0.000885795426401451
"Gastrointestinal","1.29 (1.09-1.53)",0.00569645394808554
"Immune","1.39 (1.17-1.65)",0.000885795426401451
"Kidney and Bladder","1.46 (1.22-1.76)",0.000309622437049661
"Liver","1.34 (1.12-1.60)",0.00397202268422938
"Lung","1.21 (1.03-1.43)",0.0362618010069614
"Muscle","1.15 (0.97-1.36)",0.134292204837728
"Nerve","1.21 (1.02-1.45)",0.0438362894516723
"Ovary","1.13 (0.88-1.46)",0.347525221861528
"Pancreas","1.12 (0.95-1.33)",0.212063313832524
"Prostate","1.13 (0.87-1.47)",0.347525221861528
"Skin","1.26 (1.05-1.50)",0.0220969927726778
