"Organ","HR (95% CI)","FDR"
"Adipose","1.12 (0.93-1.36)",0.298558863430493
"Brain","1.37 (1.11-1.69)",0.00869908666789272
"Cardiovascular","1.59 (1.26-2.01)",0.00171048587195177
"Endocrine","1.39 (1.13-1.72)",0.00747245350705263
"Gastrointestinal","1.26 (1.03-1.53)",0.0454799541335429
"Immune","1.35 (1.09-1.67)",0.0142235943001136
"Kidney and Bladder","1.44 (1.16-1.78)",0.00701723101083256
"Liver","1.36 (1.10-1.68)",0.0101918489845688
"Lung","1.20 (0.99-1.45)",0.077513752001286
"Muscle","1.39 (1.13-1.70)",0.00747245350705263
"Nerve","1.26 (1.02-1.56)",0.0471035191940598
"Ovary","1.15 (0.83-1.58)",0.425676903360875
"Pancreas","1.13 (0.91-1.39)",0.310056182293472
"Prostate","1.10 (0.80-1.50)",0.555272237292268
"Skin","1.26 (1.02-1.56)",0.0471035191940598
