"Organ","HR (95% CI)","FDR"
"Adipose","1.28 (0.92-1.78)",0.233230590824022
"Brain","1.31 (0.96-1.79)",0.200460317160942
"Cardiovascular","1.53 (1.07-2.19)",0.074639346467151
"Endocrine","1.46 (1.02-2.08)",0.111807769892033
"Gastrointestinal","1.47 (1.06-2.02)",0.074639346467151
"Immune","1.59 (1.15-2.20)",0.0358408880851
"Kidney and Bladder","1.70 (1.19-2.44)",0.0358408880851
"Liver","1.36 (0.95-1.96)",0.200460317160942
"Lung","1.28 (0.91-1.81)",0.233230590824022
"Muscle","1.06 (0.83-1.34)",0.70141914668994
"Nerve","1.16 (0.82-1.65)",0.549339816583864
"Ovary","0.97 (0.59-1.60)",0.905788137279246
"Pancreas","1.10 (0.82-1.47)",0.596011196114709
"Prostate","1.22 (0.73-2.03)",0.562256362805796
"Skin","1.29 (0.92-1.80)",0.233230590824022
