"Organ","HR (95% CI)","FDR"
"Adipose","0.97 (0.70-1.34)",0.967421437381364
"Brain","1.06 (0.78-1.45)",0.967421437381364
"Cardiovascular","0.96 (0.67-1.37)",0.967421437381364
"Endocrine","1.11 (0.80-1.56)",0.967421437381364
"Gastrointestinal","1.14 (0.83-1.59)",0.967421437381364
"Immune","0.96 (0.72-1.28)",0.967421437381364
"Kidney and Bladder","0.91 (0.64-1.29)",0.967421437381364
"Liver","1.01 (0.70-1.45)",0.967421437381364
"Lung","1.01 (0.72-1.41)",0.967421437381364
"Muscle","0.98 (0.73-1.31)",0.967421437381364
"Nerve","1.06 (0.75-1.49)",0.967421437381364
"Ovary","0.97 (0.62-1.52)",0.967421437381364
"Pancreas","1.04 (0.77-1.42)",0.967421437381364
"Prostate","1.34 (0.71-2.51)",0.967421437381364
"Skin","1.01 (0.73-1.39)",0.967421437381364
