"Organ","HR (95% CI)","FDR"
"Adipose","0.52 (0.14-2.01)",0.829110299325383
"Brain","2.07 (0.55-7.72)",0.829110299325383
"Cardiovascular","1.20 (0.34-4.27)",0.829110299325383
"Endocrine","1.40 (0.39-4.97)",0.829110299325383
"Gastrointestinal","1.76 (0.42-7.44)",0.829110299325383
"Immune","2.46 (0.77-7.79)",0.829110299325383
"Kidney and Bladder","1.21 (0.34-4.27)",0.829110299325383
"Liver","0.83 (0.31-2.26)",0.829110299325383
"Lung","0.80 (0.32-1.98)",0.829110299325383
"Muscle","0.76 (0.25-2.30)",0.829110299325383
"Nerve","0.53 (0.16-1.80)",0.829110299325383
"Ovary","1.45 (0.26-7.98)",0.829110299325383
"Pancreas","1.02 (0.37-2.79)",0.966525396774885
"Prostate","2.7e+03 (4.6e+01-1.5e+05)",0.00209926939820185
"Skin","1.89 (0.47-7.53)",0.829110299325383
