"Organ","HR (95% CI)","FDR"
"Adipose","1.40 (1.25-1.56)",1.42760941798828e-08
"Brain","1.58 (1.40-1.77)",7.24429469105066e-14
"Cardiovascular","1.87 (1.64-2.13)",2.24482054201067e-20
"Endocrine","1.52 (1.35-1.72)",4.34727456137353e-11
"Gastrointestinal","1.78 (1.57-2.01)",7.53821837450843e-19
"Immune","1.59 (1.41-1.79)",2.24083173899892e-14
"Kidney and Bladder","1.70 (1.50-1.93)",7.11086695530765e-16
"Liver","1.84 (1.62-2.09)",2.17595895160733e-20
"Lung","1.49 (1.33-1.67)",1.85022989330843e-11
"Muscle","1.31 (1.17-1.45)",9.06335044089099e-07
"Nerve","1.63 (1.44-1.84)",5.40239404103403e-15
"Ovary","1.42 (1.20-1.67)",3.84312852037304e-05
"Pancreas","1.27 (1.15-1.41)",6.97652080957235e-06
"Prostate","1.28 (1.08-1.51)",0.0040943005190194
"Skin","1.38 (1.24-1.55)",2.69447477595968e-08
