"Organ","HR (95% CI)","FDR"
"Adipose","1.61 (1.28-2.03)",6.10002180438356e-05
"Brain","1.71 (1.38-2.12)",1.92540150125638e-06
"Cardiovascular","2.20 (1.69-2.85)",3.94291528685848e-08
"Endocrine","1.81 (1.43-2.30)",2.05278124168421e-06
"Gastrointestinal","1.87 (1.50-2.34)",1.76036881485971e-07
"Immune","1.78 (1.44-2.22)",6.07647145745471e-07
"Kidney and Bladder","2.03 (1.59-2.61)",1.53427757281867e-07
"Liver","1.82 (1.44-2.30)",1.13968421812437e-06
"Lung","1.70 (1.35-2.14)",7.06030660660156e-06
"Muscle","1.38 (1.11-1.72)",0.00458016133490481
"Nerve","1.83 (1.45-2.32)",1.13968421812437e-06
"Ovary","1.62 (1.18-2.22)",0.00376551430840883
"Pancreas","1.30 (1.07-1.57)",0.00935194189755936
"Prostate","1.23 (0.91-1.66)",0.18338459130717
"Skin","1.70 (1.36-2.14)",6.52570357139339e-06
