"Organ","HR (95% CI)","FDR"
"Adipose","2.07 (1.07-4.02)",0.0654797530893893
"Brain","2.10 (1.13-3.91)",0.0612249318696932
"Cardiovascular","1.60 (0.83-3.11)",0.173520752562822
"Endocrine","2.38 (1.17-4.87)",0.0612249318696932
"Gastrointestinal","1.27 (0.79-2.03)",0.320007977389751
"Immune","1.53 (0.90-2.60)",0.136814308489682
"Kidney and Bladder","2.33 (1.14-4.75)",0.0612249318696932
"Liver","2.42 (1.23-4.78)",0.0612249318696932
"Lung","1.58 (0.89-2.82)",0.136814308489682
"Muscle","1.79 (0.98-3.29)",0.0981455031368955
"Nerve","3.11 (1.16-8.36)",0.0618505624470369
"Ovary","3.3e+01 (4.4e-01-2.5e+03)",0.136814308489682
"Pancreas","1.76 (1.03-3.01)",0.0712261677682886
"Prostate","0.27 (0.06-1.16)",0.117748807339291
"Skin","2.72 (1.36-5.47)",0.0612249318696932
