"Organ","HR (95% CI)","FDR"
"Adipose","2.08 (0.86-5.01)",0.311631154770144
"Brain","0.75 (0.38-1.49)",0.647743682537124
"Cardiovascular","2.62 (0.96-7.18)",0.311631154770144
"Endocrine","2.08 (0.89-4.87)",0.311631154770144
"Gastrointestinal","0.97 (0.43-2.16)",0.932770729594042
"Immune","1.18 (0.46-3.06)",0.907439826959934
"Kidney and Bladder","2.19 (0.87-5.56)",0.311631154770144
"Liver","2.08 (0.79-5.47)",0.343427136387865
"Lung","1.40 (0.60-3.27)",0.647743682537124
"Muscle","1.07 (0.51-2.25)",0.924325781435489
"Nerve","2.30 (0.86-6.14)",0.311631154770144
"Ovary","2.16 (0.51-9.18)",0.554185016852567
"Pancreas","0.48 (0.16-1.47)",0.423457569413108
"Prostate","1.72 (0.31-9.56)",0.733691051474788
"Skin","1.06 (0.54-2.09)",0.924325781435489
