"Organ","HR (95% CI)","FDR"
"Adipose","0.93 (0.67-1.30)",0.996590043350972
"Brain","0.89 (0.65-1.23)",0.867220841795123
"Cardiovascular","1.00 (0.72-1.40)",0.996590043350972
"Endocrine","0.76 (0.51-1.15)",0.845956415457144
"Gastrointestinal","1.14 (0.81-1.60)",0.867220841795123
"Immune","0.76 (0.54-1.05)",0.845956415457144
"Kidney and Bladder","0.84 (0.60-1.17)",0.845956415457144
"Liver","0.99 (0.70-1.40)",0.996590043350972
"Lung","0.81 (0.57-1.13)",0.845956415457144
"Muscle","0.96 (0.73-1.27)",0.996590043350972
"Nerve","1.00 (0.69-1.45)",0.996590043350972
"Pancreas","0.90 (0.67-1.21)",0.867220841795123
"Prostate","0.80 (0.54-1.18)",0.845956415457144
"Skin","1.04 (0.76-1.42)",0.996590043350972
