"Organ","HR (95% CI)","FDR"
"Adipose","1.82 (0.91-3.63)",0.369356065777421
"Brain","0.87 (0.45-1.68)",0.788013302398698
"Cardiovascular","1.36 (0.72-2.57)",0.599086465130243
"Endocrine","1.30 (0.72-2.36)",0.599086465130243
"Gastrointestinal","1.62 (0.83-3.18)",0.369356065777421
"Immune","1.19 (0.66-2.15)",0.716142488417858
"Kidney and Bladder","1.36 (0.71-2.60)",0.599086465130243
"Liver","1.22 (0.62-2.40)",0.716142488417858
"Lung","2.33 (1.04-5.22)",0.369356065777421
"Muscle","1.03 (0.57-1.87)",0.927861892506334
"Nerve","1.72 (0.84-3.53)",0.369356065777421
"Pancreas","0.92 (0.48-1.76)",0.855562518064133
"Prostate","0.43 (0.13-1.38)",0.369356065777421
"Skin","1.57 (0.89-2.79)",0.369356065777421
