"Organ","HR (95% CI)","FDR"
"Adipose","0.98 (0.77-1.24)",0.894890819134352
"Brain","1.10 (0.90-1.35)",0.644902138794329
"Cardiovascular","0.89 (0.68-1.16)",0.644902138794329
"Endocrine","1.15 (0.88-1.48)",0.644902138794329
"Gastrointestinal","1.19 (0.95-1.49)",0.487545039811393
"Immune","1.24 (1.00-1.53)",0.341454639616989
"Kidney and Bladder","1.37 (1.10-1.72)",0.0716601623970706
"Liver","1.10 (0.84-1.44)",0.682512213880401
"Lung","1.16 (0.91-1.48)",0.644902138794329
"Muscle","1.03 (0.80-1.31)",0.894890819134352
"Nerve","1.10 (0.88-1.38)",0.644902138794329
"Ovary","1.02 (0.79-1.31)",0.894890819134352
"Pancreas","1.07 (0.84-1.35)",0.75966555580962
"Skin","1.21 (0.95-1.53)",0.487545039811393
