"Organ","HR (95% CI)","FDR"
"Adipose","1.16 (0.94-1.43)",0.20785530522305
"Brain","1.33 (1.08-1.64)",0.0224516707086107
"Cardiovascular","1.16 (0.93-1.46)",0.20785530522305
"Endocrine","1.29 (1.03-1.61)",0.0445401643826956
"Gastrointestinal","1.47 (1.15-1.87)",0.0114063840366124
"Immune","1.42 (1.13-1.78)",0.0114063840366124
"Kidney and Bladder","1.34 (1.09-1.65)",0.0224516707086107
"Liver","1.35 (1.06-1.73)",0.0364478578647253
"Lung","1.31 (1.04-1.66)",0.0445401643826956
"Muscle","1.23 (1.08-1.39)",0.0114063840366124
"Nerve","1.27 (1.02-1.59)",0.0462372542090552
"Ovary","1.16 (0.83-1.62)",0.417916225125946
"Pancreas","1.31 (1.03-1.67)",0.0445401643826956
"Prostate","1.29 (0.92-1.80)",0.194375672556753
"Skin","1.03 (0.81-1.32)",0.811927404206958
