"Organ","HR (95% CI)","FDR"
"Adipose","1.04 (0.92-1.17)",0.702389536719815
"Brain","1.13 (1.01-1.27)",0.0610806148512692
"Cardiovascular","1.25 (1.09-1.43)",0.00915198395755449
"Endocrine","1.15 (1.02-1.30)",0.0610806148512692
"Gastrointestinal","1.01 (0.86-1.18)",0.965312859249801
"Immune","1.08 (0.92-1.27)",0.51159536068109
"Kidney and Bladder","1.27 (1.12-1.44)",0.00271669922586377
"Liver","1.14 (0.99-1.31)",0.117443424882796
"Lung","1.09 (0.97-1.22)",0.239600473454731
"Muscle","1.00 (0.88-1.13)",0.965312859249801
"Nerve","1.18 (1.06-1.33)",0.0185280789442748
"Ovary","1.30 (1.06-1.58)",0.0370051784192265
"Pancreas","0.99 (0.87-1.13)",0.965312859249801
"Prostate","1.01 (0.88-1.16)",0.965312859249801
"Skin","1.16 (1.03-1.29)",0.0370051784192265
