"Organ","HR (95% CI)","FDR"
"Adipose","1.10 (0.99-1.22)",0.0869318562338381
"Brain","1.23 (1.12-1.36)",3.27461000368248e-05
"Cardiovascular","1.40 (1.27-1.54)",2.6480095122779e-11
"Endocrine","1.26 (1.14-1.39)",1.08162639465932e-05
"Gastrointestinal","1.25 (1.13-1.38)",1.89191957510612e-05
"Immune","1.21 (1.10-1.33)",9.9096771099437e-05
"Kidney and Bladder","1.33 (1.21-1.46)",9.48596147858374e-09
"Liver","1.28 (1.16-1.41)",2.93582727011636e-06
"Lung","1.15 (1.05-1.26)",0.00482778017214053
"Muscle","1.12 (1.03-1.21)",0.00896929077167787
"Nerve","1.24 (1.12-1.37)",3.27461000368248e-05
"Ovary","1.19 (1.02-1.40)",0.0385966115688301
"Pancreas","1.12 (1.02-1.23)",0.0307440893085719
"Prostate","1.04 (0.93-1.16)",0.512218611546569
"Skin","1.05 (0.95-1.16)",0.367187564926336
