"Organ","HR (95% CI)","FDR"
"Adipose","1.26 (1.16-1.36)",9.31322745763206e-09
"Brain","1.40 (1.31-1.49)",9.09197949320728e-25
"Cardiovascular","1.49 (1.39-1.61)",1.52817517019827e-26
"Endocrine","1.45 (1.36-1.55)",3.26565681671158e-28
"Gastrointestinal","1.50 (1.41-1.59)",1.27875270704497e-37
"Immune","1.36 (1.28-1.44)",1.64307701893215e-23
"Kidney and Bladder","1.50 (1.41-1.60)",3.29232744919136e-35
"Liver","1.46 (1.37-1.56)",5.22770790182644e-31
"Lung","1.35 (1.26-1.44)",1.02561427536523e-17
"Muscle","1.16 (1.09-1.24)",4.57832070222083e-06
"Nerve","1.36 (1.28-1.44)",1.41923418601846e-23
"Ovary","1.33 (1.22-1.45)",4.35295399676488e-10
"Pancreas","1.19 (1.12-1.27)",3.37674211319063e-08
"Prostate","1.20 (1.12-1.29)",5.51933106685465e-07
"Skin","1.21 (1.14-1.30)",1.42690671073485e-08
