"Organ","HR (95% CI)","FDR"
"Adipose","1.42 (1.05-1.92)",0.112655392785674
"Brain","1.05 (0.82-1.35)",0.729191957859573
"Cardiovascular","1.08 (0.82-1.43)",0.729191957859573
"Endocrine","1.44 (1.08-1.91)",0.0919118074125849
"Gastrointestinal","0.94 (0.72-1.23)",0.729191957859573
"Immune","1.00 (0.76-1.33)",0.978752413784786
"Kidney and Bladder","1.28 (0.94-1.74)",0.346945830618844
"Liver","1.07 (0.81-1.40)",0.729191957859573
"Lung","1.14 (0.88-1.47)",0.61197179910672
"Muscle","1.12 (0.95-1.31)",0.463554974245637
"Nerve","1.09 (0.82-1.44)",0.729191957859573
"Ovary","1.33 (0.74-2.41)",0.61197179910672
"Pancreas","0.90 (0.73-1.12)",0.61197179910672
"Prostate","0.75 (0.53-1.06)",0.346945830618844
"Skin","1.45 (1.10-1.92)",0.0919118074125849
