"Organ","HR (95% CI)","FDR"
"Adipose","1.43 (0.95-2.16)",0.428506001250324
"Brain","0.99 (0.70-1.42)",0.976145863597159
"Cardiovascular","1.24 (0.82-1.87)",0.588087573970806
"Endocrine","1.02 (0.76-1.37)",0.976145863597159
"Gastrointestinal","1.43 (0.98-2.10)",0.428506001250324
"Immune","1.47 (1.03-2.09)",0.428506001250324
"Kidney and Bladder","1.16 (0.81-1.67)",0.679286316218115
"Liver","1.23 (0.86-1.74)",0.588087573970806
"Lung","1.02 (0.74-1.40)",0.976145863597159
"Muscle","1.04 (0.74-1.48)",0.976145863597159
"Nerve","1.04 (0.70-1.53)",0.976145863597159
"Ovary","0.61 (0.27-1.38)",0.588087573970806
"Pancreas","0.98 (0.73-1.32)",0.976145863597159
"Prostate","1.43 (0.81-2.53)",0.588087573970806
"Skin","0.82 (0.56-1.20)",0.588087573970806
