"Organ","HR (95% CI)","FDR"
"Adipose","0.98 (0.51-1.89)",0.959959562130451
"Brain","1.58 (0.71-3.49)",0.646598765413158
"Cardiovascular","0.64 (0.32-1.27)",0.646598765413158
"Endocrine","1.20 (0.61-2.34)",0.712857488921521
"Gastrointestinal","1.51 (0.73-3.12)",0.646598765413158
"Immune","1.29 (0.62-2.68)",0.712857488921521
"Kidney and Bladder","1.72 (0.77-3.85)",0.646598765413158
"Liver","0.83 (0.46-1.50)",0.712857488921521
"Lung","1.02 (0.52-2.01)",0.959959562130451
"Muscle","0.79 (0.46-1.37)",0.712857488921521
"Nerve","0.86 (0.47-1.56)",0.712857488921521
"Ovary","1.41 (0.76-2.63)",0.646598765413158
"Pancreas","1.55 (0.87-2.77)",0.646598765413158
"Skin","1.18 (0.64-2.18)",0.712857488921521
