"Organ","HR (95% CI)","FDR"
"Adipose","2.6e+00 (6.4e-01-1.1e+01)",0.55304544922276
"Brain","2.31 (0.57-9.40)",0.55304544922276
"Cardiovascular","2.01 (0.42-9.75)",0.56089326205344
"Endocrine","5.0e+00 (8.1e-01-3.1e+01)",0.45078278407932
"Gastrointestinal","1.64 (0.52-5.23)",0.56089326205344
"Immune","2.2e+00 (4.4e-01-1.1e+01)",0.56089326205344
"Kidney and Bladder","4.3e+00 (7.7e-01-2.5e+01)",0.45078278407932
"Liver","2.4e+00 (5.0e-01-1.1e+01)",0.55304544922276
"Lung","1.58 (0.26-9.57)",0.724570921556669
"Muscle","6.3e+00 (7.3e-01-5.4e+01)",0.45078278407932
"Nerve","0.88 (0.25-3.10)",0.836188197900545
"Ovary","1.67 (0.41-6.90)",0.607489952145767
"Pancreas","2.08 (0.65-6.70)",0.55304544922276
"Skin","0.77 (0.17-3.40)",0.781759339507422
