"Organ","HR (95% CI)","FDR"
"Adipose","1.38 (1.05-1.81)",0.076133201028905
"Brain","1.20 (0.93-1.56)",0.245233807974755
"Cardiovascular","1.32 (1.01-1.73)",0.0968317392688278
"Endocrine","1.38 (1.03-1.84)",0.076133201028905
"Gastrointestinal","1.20 (0.93-1.53)",0.245233807974755
"Immune","1.32 (1.03-1.70)",0.076133201028905
"Kidney and Bladder","1.47 (1.11-1.96)",0.0606449904914018
"Liver","1.48 (1.15-1.91)",0.0391678562917765
"Lung","1.40 (1.07-1.81)",0.0638659871904546
"Muscle","1.02 (0.81-1.27)",0.884096162060862
"Nerve","1.20 (0.94-1.54)",0.245233807974755
"Ovary","0.88 (0.63-1.21)",0.533522156281448
"Pancreas","1.06 (0.85-1.33)",0.629799654077024
"Prostate","1.23 (0.84-1.81)",0.387820446346542
"Skin","0.94 (0.74-1.18)",0.629799654077024
