"Organ","HR (95% CI)","FDR"
"Adipose","0.91 (0.59-1.39)",0.76211874906601
"Brain","1.26 (0.86-1.85)",0.691859600083645
"Cardiovascular","1.07 (0.69-1.65)",0.832860373006468
"Endocrine","1.18 (0.79-1.76)",0.720429652972755
"Gastrointestinal","1.35 (0.93-1.97)",0.585147648976888
"Immune","1.10 (0.80-1.53)",0.76211874906601
"Kidney and Bladder","1.11 (0.73-1.67)",0.76211874906601
"Liver","1.18 (0.81-1.73)",0.720429652972755
"Lung","0.99 (0.68-1.43)",0.944713773183147
"Muscle","1.09 (0.76-1.54)",0.76211874906601
"Nerve","1.33 (0.86-2.04)",0.691859600083645
"Ovary","2.34 (0.93-5.86)",0.585147648976888
"Pancreas","0.75 (0.53-1.06)",0.585147648976888
"Prostate","0.76 (0.42-1.38)",0.720429652972755
"Skin","0.86 (0.60-1.25)",0.720429652972755
