"Organ","HR (95% CI)","FDR"
"Adipose","1.04 (0.56-1.93)",0.985334195085344
"Brain","0.88 (0.50-1.55)",0.985334195085344
"Cardiovascular","1.12 (0.55-2.28)",0.985334195085344
"Endocrine","0.96 (0.44-2.10)",0.985334195085344
"Gastrointestinal","0.97 (0.50-1.85)",0.985334195085344
"Immune","0.87 (0.47-1.60)",0.985334195085344
"Kidney and Bladder","1.39 (0.61-3.14)",0.929492093751628
"Liver","0.71 (0.32-1.56)",0.929492093751628
"Lung","1.36 (0.80-2.31)",0.929492093751628
"Muscle","1.77 (0.87-3.59)",0.929492093751628
"Nerve","1.38 (0.71-2.67)",0.929492093751628
"Ovary","0.80 (0.30-2.14)",0.985334195085344
"Pancreas","1.01 (0.57-1.76)",0.985334195085344
"Prostate","0.11 (0.00-2.64)",0.929492093751628
"Skin","0.74 (0.42-1.31)",0.929492093751628
