"Organ","HR (95% CI)","FDR"
"Adipose","0.89 (0.67-1.18)",0.887854775661359
"Brain","1.25 (0.97-1.62)",0.426367964124783
"Cardiovascular","1.02 (0.77-1.36)",0.936540816092829
"Endocrine","1.05 (0.80-1.39)",0.887854775661359
"Gastrointestinal","0.90 (0.69-1.17)",0.887854775661359
"Immune","1.06 (0.80-1.40)",0.887854775661359
"Kidney and Bladder","1.10 (0.81-1.51)",0.887854775661359
"Liver","1.38 (1.06-1.80)",0.12924059346699
"Lung","0.99 (0.78-1.26)",0.958869681305072
"Muscle","1.04 (0.81-1.32)",0.887854775661359
"Nerve","1.44 (1.09-1.90)",0.12924059346699
"Ovary","1.12 (0.83-1.53)",0.887854775661359
"Pancreas","1.07 (0.85-1.34)",0.887854775661359
"Prostate","0.91 (0.57-1.46)",0.887854775661359
"Skin","0.92 (0.72-1.18)",0.887854775661359
