"Organ","HR (95% CI)","FDR"
"Adipose","0.67 (0.36-1.26)",0.724840738332059
"Brain","0.98 (0.57-1.69)",0.939152019975289
"Cardiovascular","1.30 (0.68-2.45)",0.771001534703424
"Endocrine","1.09 (0.60-1.97)",0.915997909332673
"Gastrointestinal","1.35 (0.75-2.42)",0.724840738332059
"Immune","0.62 (0.30-1.28)",0.724840738332059
"Kidney and Bladder","1.42 (0.72-2.80)",0.724840738332059
"Liver","1.22 (0.67-2.22)",0.780457217324822
"Lung","1.04 (0.62-1.77)",0.934055301617959
"Muscle","0.65 (0.37-1.16)",0.724840738332059
"Nerve","0.85 (0.47-1.55)",0.806078204292882
"Ovary","2.05 (0.47-8.86)",0.724840738332059
"Pancreas","0.62 (0.37-1.05)",0.724840738332059
"Prostate","1.17 (0.36-3.75)",0.915997909332673
"Skin","0.81 (0.47-1.41)",0.771001534703424
