"Organ","HR (95% CI)","FDR"
"Adipose","0.99 (0.74-1.34)",0.963679259345519
"Brain","1.04 (0.81-1.34)",0.948236066088156
"Cardiovascular","1.60 (1.15-2.24)",0.0888730262612609
"Endocrine","1.12 (0.83-1.50)",0.90827719372266
"Gastrointestinal","1.38 (1.04-1.82)",0.170777033797277
"Immune","0.95 (0.73-1.25)",0.948236066088156
"Kidney and Bladder","1.41 (1.03-1.94)",0.170777033797277
"Liver","1.15 (0.86-1.53)",0.90827719372266
"Lung","1.09 (0.81-1.46)",0.948236066088156
"Muscle","1.04 (0.81-1.32)",0.948236066088156
"Nerve","0.98 (0.72-1.33)",0.955452890820701
"Ovary","1.05 (0.65-1.70)",0.955452890820701
"Pancreas","1.12 (0.85-1.47)",0.90827719372266
"Prostate","1.17 (0.75-1.82)",0.90827719372266
"Skin","1.10 (0.84-1.44)",0.90827719372266
