"Organ","HR (95% CI)","FDR"
"Adipose","1.12 (0.89-1.41)",0.446195368255787
"Brain","1.23 (0.97-1.55)",0.288784474727104
"Cardiovascular","1.52 (1.15-2.02)",0.0536138263272917
"Endocrine","1.15 (0.88-1.48)",0.446195368255787
"Gastrointestinal","1.10 (0.87-1.39)",0.525009780564953
"Immune","1.32 (1.04-1.68)",0.177121816708499
"Kidney and Bladder","1.24 (0.95-1.61)",0.288784474727104
"Liver","1.16 (0.93-1.45)",0.304636491597709
"Lung","1.18 (0.94-1.48)",0.288784474727104
"Muscle","1.25 (1.01-1.56)",0.204143787323053
"Nerve","1.20 (0.94-1.55)",0.288784474727104
"Ovary","0.99 (0.73-1.34)",0.947752329159972
"Pancreas","1.04 (0.84-1.30)",0.743216442435964
"Prostate","0.93 (0.67-1.28)",0.743216442435964
"Skin","0.84 (0.67-1.05)",0.288784474727104
