"Organ","HR (95% CI)","FDR"
"Adipose","1.02 (0.77-1.35)",0.985309347413037
"Brain","1.02 (0.75-1.38)",0.985309347413037
"Cardiovascular","1.28 (0.91-1.81)",0.80418521918126
"Endocrine","1.10 (0.79-1.53)",0.985309347413037
"Gastrointestinal","0.96 (0.71-1.29)",0.985309347413037
"Immune","1.57 (1.14-2.17)",0.086323814088377
"Kidney and Bladder","1.18 (0.84-1.65)",0.985309347413037
"Liver","1.07 (0.82-1.41)",0.985309347413037
"Lung","1.00 (0.77-1.31)",0.985309347413037
"Muscle","1.09 (0.83-1.45)",0.985309347413037
"Nerve","0.97 (0.71-1.31)",0.985309347413037
"Ovary","0.91 (0.62-1.33)",0.985309347413037
"Pancreas","1.01 (0.76-1.33)",0.985309347413037
"Prostate","0.89 (0.56-1.40)",0.985309347413037
"Skin","0.71 (0.53-0.95)",0.171004079204305
