"Organ","HR (95% CI)","FDR"
"Adipose","0.83 (0.64-1.09)",0.403315450269284
"Brain","1.12 (0.88-1.43)",0.499265504748268
"Cardiovascular","1.54 (1.14-2.09)",0.0400227690569049
"Endocrine","1.57 (1.14-2.16)",0.0400227690569049
"Gastrointestinal","1.13 (0.88-1.44)",0.499265504748268
"Immune","1.08 (0.82-1.42)",0.720714131034366
"Kidney and Bladder","1.52 (1.12-2.07)",0.0400227690569049
"Liver","1.25 (0.96-1.64)",0.27925852585465
"Lung","0.99 (0.77-1.29)",0.964622041870906
"Muscle","1.29 (0.99-1.70)",0.23998984732398
"Nerve","1.13 (0.87-1.46)",0.499265504748268
"Ovary","1.04 (0.72-1.52)",0.878545764477454
"Pancreas","1.22 (0.91-1.63)",0.403315450269284
"Prostate","1.06 (0.74-1.52)",0.876718824216963
"Skin","1.13 (0.87-1.47)",0.499265504748268
