"Organ","HR (95% CI)","FDR"
"Adipose","0.80 (0.49-1.32)",0.984340171060663
"Brain","1.13 (0.75-1.70)",0.984340171060663
"Cardiovascular","1.38 (0.82-2.30)",0.984340171060663
"Endocrine","1.04 (0.64-1.72)",0.984340171060663
"Gastrointestinal","1.11 (0.75-1.64)",0.984340171060663
"Immune","1.19 (0.78-1.81)",0.984340171060663
"Kidney and Bladder","1.40 (0.85-2.31)",0.984340171060663
"Liver","1.09 (0.68-1.74)",0.984340171060663
"Lung","0.85 (0.52-1.40)",0.984340171060663
"Muscle","1.01 (0.78-1.32)",0.984340171060663
"Nerve","0.91 (0.55-1.52)",0.984340171060663
"Ovary","0.76 (0.28-2.07)",0.984340171060663
"Pancreas","1.10 (0.74-1.63)",0.984340171060663
"Prostate","0.99 (0.55-1.78)",0.984340171060663
"Skin","1.04 (0.66-1.62)",0.984340171060663
