"Organ","HR (95% CI)","FDR"
"Adipose","1.03 (0.66-1.58)",0.987601771220793
"Brain","1.01 (0.66-1.55)",0.987601771220793
"Cardiovascular","1.02 (0.63-1.63)",0.987601771220793
"Endocrine","1.30 (0.82-2.07)",0.987601771220793
"Gastrointestinal","1.10 (0.74-1.65)",0.987601771220793
"Immune","0.98 (0.68-1.40)",0.987601771220793
"Kidney and Bladder","1.06 (0.68-1.66)",0.987601771220793
"Liver","1.14 (0.72-1.80)",0.987601771220793
"Lung","1.17 (0.75-1.83)",0.987601771220793
"Muscle","1.00 (0.65-1.52)",0.987601771220793
"Nerve","1.19 (0.73-1.95)",0.987601771220793
"Ovary","0.64 (0.26-1.57)",0.987601771220793
"Pancreas","0.99 (0.68-1.45)",0.987601771220793
"Prostate","1.50 (0.75-3.01)",0.987601771220793
"Skin","0.86 (0.56-1.33)",0.987601771220793
