"Organ","HR (95% CI)","FDR"
"Adipose","0.23 (0.02-2.19)",0.857949811483252
"Brain","1.8e+10 (9.0e+07-3.4e+12)",2.54436843960958e-17
"Cardiovascular","1.1e+00 (9.9e-02-1.1e+01)",0.958069495673931
"Endocrine","3.9e+00 (1.7e-01-9.2e+01)",0.958069495673931
"Gastrointestinal","2.2e+00 (2.0e-01-2.3e+01)",0.958069495673931
"Immune","5.8e+00 (7.6e-01-4.5e+01)",0.671943342550109
"Kidney and Bladder","6.8e-01 (1.9e-02-2.5e+01)",0.958069495673931
"Liver","0.85 (0.09-7.75)",0.958069495673931
"Lung","0.65 (0.16-2.68)",0.958069495673931
"Muscle","0.56 (0.11-2.87)",0.958069495673931
"Nerve","1.6e+00 (1.7e-01-1.5e+01)",0.958069495673931
"Ovary","0.91 (0.09-9.33)",0.958069495673931
"Pancreas","0.65 (0.14-3.01)",0.958069495673931
"Prostate","9.2e+06 (8.2e-54-1.0e+67)",0.958069495673931
"Skin","3.2e+00 (4.9e-01-2.0e+01)",0.857949811483252
