"Organ","HR (95% CI)","FDR"
"Adipose","6.2e-04 (0.0e+00-Inf)",1
"Brain","0.13 (0.04-0.38)",0.00137509683617259
"Cardiovascular","3.5e+00 (3.4e-01-3.7e+01)",0.678004160361752
"Endocrine","7.9e-09 (0.0e+00-Inf)",1
"Gastrointestinal","2.9e+00 (6.8e-02-1.2e+02)",1
"Immune","0.00 (0.00-0.00)",3.53921321825337e-31
"Kidney and Bladder","2.2e+02 (8.2e+00-5.9e+03)",0.00468188122478936
"Liver",NA,NA
"Lung","3.4e-05 (2.5e-132-4.5e+122)",1
"Muscle","2.2e+00 (4.4e-01-1.1e+01)",0.678004160361752
"Nerve","3.7e+00 (1.0e+00-1.3e+01)",0.124498312459573
"Ovary","6.7e-01 (0.0e+00-Inf)",1
"Pancreas","1.4e+01 (3.4e+00-6.2e+01)",0.00137509683617259
"Prostate","1.0e+00 (1.7e-03-5.7e+02)",1
"Skin","6.8e-05 (5.5e-53-8.6e+43)",1
