"Organ","HR (95% CI)","FDR"
"Adipose","1.21 (1.04-1.41)",0.020611147226223
"Brain","1.39 (1.21-1.60)",1.32364286210997e-05
"Cardiovascular","1.74 (1.47-2.05)",6.46268155750203e-10
"Endocrine","1.40 (1.18-1.66)",0.000212407068291819
"Gastrointestinal","1.63 (1.39-1.90)",4.44834069755249e-09
"Immune","1.32 (1.14-1.53)",0.000357168644709982
"Kidney and Bladder","1.61 (1.35-1.92)",3.87988706034311e-07
"Liver","1.68 (1.44-1.96)",6.46268155750203e-10
"Lung","1.28 (1.11-1.48)",0.00107403944340582
"Muscle","1.17 (1.02-1.34)",0.0289905576857937
"Nerve","1.48 (1.26-1.74)",4.2013583356025e-06
"Ovary","1.22 (0.98-1.52)",0.0763884483342264
"Pancreas","1.16 (1.01-1.33)",0.0386127354301669
"Prostate","1.13 (0.93-1.36)",0.221110926342084
"Skin","1.32 (1.14-1.52)",0.000357168644709982
