"Organ","HR (95% CI)","FDR"
"Adipose","1.29 (1.07-1.55)",0.00789952681734427
"Brain","1.48 (1.25-1.76)",2.64169788446292e-05
"Cardiovascular","1.74 (1.44-2.11)",1.2714700801867e-07
"Endocrine","1.33 (1.10-1.62)",0.00554004017311243
"Gastrointestinal","1.72 (1.41-2.10)",3.36911276678681e-07
"Immune","1.39 (1.16-1.66)",0.000642300948908377
"Kidney and Bladder","1.55 (1.26-1.90)",6.10811415817727e-05
"Liver","1.96 (1.61-2.37)",1.15442671334498e-10
"Lung","1.33 (1.12-1.57)",0.00176492919902083
"Muscle","1.27 (1.09-1.48)",0.00337943754522227
"Nerve","1.54 (1.28-1.86)",1.90168471657739e-05
"Ovary","1.26 (0.98-1.61)",0.0726673195954069
"Pancreas","1.18 (1.00-1.39)",0.0586842569950496
"Prostate","1.18 (0.92-1.51)",0.189826350153432
"Skin","1.31 (1.11-1.55)",0.00291180587916481
