"Organ","HR (95% CI)","FDR"
"Adipose","1.40 (1.03-1.92)",0.0449511611202261
"Brain","1.52 (1.15-2.01)",0.00590038659803498
"Cardiovascular","1.98 (1.41-2.78)",0.000367867409438692
"Endocrine","1.80 (1.27-2.54)",0.00200185282653781
"Gastrointestinal","1.78 (1.34-2.38)",0.000367867409438692
"Immune","1.72 (1.27-2.34)",0.00127470548294906
"Kidney and Bladder","2.18 (1.51-3.16)",0.000367867409438692
"Liver","1.73 (1.28-2.35)",0.00118116005155894
"Lung","1.51 (1.12-2.03)",0.0106460575011471
"Muscle","1.23 (0.94-1.60)",0.148337600277556
"Nerve","1.98 (1.41-2.80)",0.000367867409438692
"Ovary","1.18 (0.67-2.09)",0.608706036036886
"Pancreas","1.28 (0.97-1.69)",0.0985940954713047
"Prostate","1.08 (0.78-1.48)",0.654774262018062
"Skin","1.62 (1.18-2.22)",0.00494729327053495
