"Organ","HR (95% CI)","FDR"
"Adipose","1.92 (1.00-3.70)",0.126703989763112
"Brain","1.30 (0.75-2.23)",0.471613009626936
"Cardiovascular","1.38 (0.74-2.57)",0.470663375820967
"Endocrine","3.23 (1.40-7.45)",0.0303473254182609
"Gastrointestinal","0.94 (0.58-1.53)",0.802957217436565
"Immune","1.22 (0.66-2.25)",0.604789853868107
"Kidney and Bladder","3.81 (1.50-9.68)",0.0303473254182609
"Liver","4.9e+00 (1.7e+00-1.4e+01)",0.0303473254182609
"Lung","1.68 (0.94-3.01)",0.172318680160166
"Muscle","1.35 (0.78-2.31)",0.467845605726198
"Nerve","2.41 (1.15-5.07)",0.0756518965441695
"Ovary","6.8e+02 (1.5e-01-3.1e+06)",0.244392549490892
"Pancreas","1.08 (0.60-1.95)",0.802957217436565
"Prostate","0.67 (0.26-1.74)",0.511490849073438
"Skin","1.96 (1.07-3.62)",0.0912292176716836
