"Organ","HR (95% CI)","FDR"
"Adipose","1.47 (0.67-3.23)",0.747377091131793
"Brain","0.67 (0.32-1.41)",0.747377091131793
"Cardiovascular","0.84 (0.39-1.81)",0.918854484715946
"Endocrine","1.06 (0.53-2.12)",0.921856922412672
"Gastrointestinal","1.31 (0.62-2.75)",0.832885524667024
"Immune","0.97 (0.49-1.91)",0.921856922412672
"Kidney and Bladder","0.95 (0.46-1.97)",0.921856922412672
"Liver","0.84 (0.39-1.82)",0.918854484715946
"Lung","1.84 (0.73-4.61)",0.747377091131793
"Muscle","0.79 (0.21-2.97)",0.918854484715946
"Nerve","1.49 (0.66-3.36)",0.747377091131793
"Pancreas","0.72 (0.35-1.48)",0.747377091131793
"Prostate","0.19 (0.05-0.82)",0.366145519871214
"Skin","1.43 (0.79-2.59)",0.747377091131793
