"Organ","Effect (95% CI)","FDR"
"Adipose","1.08 (1.04-1.11)",7.33098070647983e-06
"Brain","1.14 (1.10-1.17)",3.66963447353575e-17
"Cardiovascular","1.19 (1.15-1.22)",1.8810617039369e-26
"Endocrine","1.16 (1.12-1.20)",5.3435458657254e-18
"Gastrointestinal","1.17 (1.14-1.21)",1.91029072200135e-25
"Immune","1.14 (1.10-1.17)",7.09475326984404e-18
"Kidney And Bladder","1.21 (1.17-1.25)",1.30672127902988e-34
"Liver","1.17 (1.13-1.20)",8.8865965324496e-23
"Lung","1.12 (1.09-1.16)",1.70238280533612e-12
"Muscle","1.09 (1.06-1.13)",1.40214897313351e-07
"Nerve","1.14 (1.10-1.17)",2.1969950067424e-16
"Ovary","1.10 (1.04-1.15)",0.00023323565324127
"Pancreas","1.09 (1.05-1.12)",2.27076038620441e-07
"Prostate","1.05 (1.00-1.10)",0.0403737401393815
"Skin","1.09 (1.05-1.12)",7.32057198561884e-08
