"Organ","Effect (95% CI)","FDR"
"Adipose","1.08 (1.03-1.14)",0.00467864436290692
"Brain","1.15 (1.10-1.21)",7.23622507294286e-08
"Cardiovascular","1.12 (1.06-1.18)",7.08213868130612e-05
"Endocrine","1.11 (1.05-1.17)",0.000762205152113934
"Gastrointestinal","1.22 (1.16-1.28)",6.28288295978875e-14
"Immune","1.19 (1.13-1.25)",9.10924626442575e-11
"Kidney And Bladder","1.14 (1.08-1.20)",1.63307501064028e-06
"Liver","1.14 (1.08-1.20)",2.42357324258244e-06
"Lung","1.10 (1.05-1.17)",0.000631248629563814
"Muscle","1.08 (1.03-1.14)",0.00134268324616734
"Nerve","1.11 (1.06-1.17)",7.28904115175624e-05
"Ovary","1.10 (1.02-1.19)",0.0178006495709455
"Pancreas","1.05 (1.00-1.11)",0.0487366690928504
"Prostate","1.03 (0.96-1.10)",0.458867021411172
"Skin","1.13 (1.08-1.19)",2.84608741456245e-06
