"Organ","Effect (95% CI)","FDR"
"Adipose","1.12 (1.05-1.19)",0.000333701266043974
"Brain","1.25 (1.18-1.32)",1.10216653439395e-14
"Cardiovascular","1.28 (1.21-1.35)",2.46271875043452e-17
"Endocrine","1.28 (1.21-1.36)",8.39429136138678e-16
"Gastrointestinal","1.24 (1.17-1.32)",6.37645986177258e-13
"Immune","1.28 (1.22-1.35)",1.46872998999998e-19
"Kidney And Bladder","1.37 (1.30-1.44)",3.07063246269249e-30
"Liver","1.28 (1.21-1.36)",8.77237453559793e-17
"Lung","1.18 (1.12-1.25)",2.02048676439422e-08
"Muscle","1.11 (1.05-1.17)",0.000333701266043974
"Nerve","1.13 (1.06-1.20)",0.000175854727312242
"Ovary","1.17 (1.07-1.28)",0.000554272295077588
"Pancreas","1.12 (1.05-1.19)",0.000333701266043974
"Prostate","1.05 (0.96-1.15)",0.317239704768383
"Skin","1.20 (1.13-1.27)",9.37918146146104e-09
