"Organ","Effect (95% CI)","FDR"
"Adipose","1.01 (0.90-1.14)",0.902918195341752
"Brain","1.01 (0.89-1.14)",0.902918195341752
"Cardiovascular","1.06 (0.94-1.19)",0.706359687656861
"Endocrine","1.07 (0.94-1.20)",0.706359687656861
"Gastrointestinal","0.97 (0.87-1.09)",0.870107344822344
"Immune","1.02 (0.91-1.15)",0.870107344822344
"Kidney And Bladder","1.10 (0.98-1.23)",0.706359687656861
"Liver","1.07 (0.95-1.20)",0.706359687656861
"Lung","1.05 (0.94-1.17)",0.706359687656861
"Muscle","1.04 (0.93-1.16)",0.82055317496184
"Nerve","1.02 (0.91-1.14)",0.870107344822344
"Ovary","1.11 (0.96-1.29)",0.706359687656861
"Pancreas","1.07 (0.94-1.21)",0.706359687656861
"Prostate","0.92 (0.77-1.10)",0.706359687656861
"Skin","0.97 (0.87-1.08)",0.870107344822344
